"class","F2O7_S29_L004","F2R23_S11_L004","F1O10_S21_L004","F2R33_S16_L004","F1O8_S19_L004","F2O15_S33_L004","F1O9_S20_L004","F2R24_S12_L004","F1R11_S9_L004","F1O11_S22_L004","F2R26_S13_L004","F2R35_S17_L004","F2O1_S26_L004","F204_S27_L004","F1R5_S6_L004","F2O9_S30_L004","F2R22_S10_L004","F1O12_S23_L004","F2O14_S32_L004","F1R3_S4_L004","F1R9_S8_L004","F1O13_S24_L004","F1O14_S25_L004","F1R1_S3_L004","F2O12_S31_L004","F2R30_S15_L004","F2R28_S14_L004","F1O3_S18_L004","F1R7_S7_L004","F2O5_S28_L004","F1R4_S5_L004"
"Aminoglycosides",638.899884182903,1930.75848049803,1989.94768694225,1178.96768702313,2270.90269190526,1107.15774502832,2174.85636330246,1288.67397642807,1395.21043952104,1690.64972927947,1462.33685930702,1036.57920016179,832.846794248027,1506.55689931517,1156.4783062472,1912.40699292239,1238.76840049135,1863.57861571298,1030.23124248639,1192.51786464901,1570.61365600691,2783.8144239993,2062.67148914941,903.450694962073,1574.96708156319,1185.51702565019,2034.31599867506,1874.52796790182,2502.37854980539,3203.41994226071,2270.03680835906
"MLS",99.1628916157218,186.761529665862,922.607446917632,36.2799039426088,580.931545071182,92.9599568426473,718.367132775402,99.0924397355345,298.630529863053,1051.64514785506,66.2500276041782,46.0968704181202,100.211605887895,403.589295254748,202.847770985537,112.152924807937,95.591937010411,219.941050919809,172.60094759918,264.052887003707,519.533275713051,468.692770558995,786.449239211773,130.464331126409,102.382549501876,94.7805880775762,68.7313680026499,828.091810243097,603.23867185623,1.77659338218965,730.230349085728
"betalactams",2316.26863702335,2113.79324948122,773.258795773925,2197.55600814664,900.187069976853,1951.61962678698,471.862948290789,2547.22598661246,1551.12210511221,343.138275718451,1824.43742684893,2300.05308660701,1867.64592311138,537.495750157851,1064.95079767407,594.035448551207,2441.85344046396,1329.35257648135,1880.1711335832,1815.18208567389,347.277441659464,812.374640272085,410.638563232726,1265.29135791643,1544.90571662816,2297.65841451426,1853.92514077509,537.113523719613,957.570515592715,625.138796357984,347.571835668487
"Phenicol",267.288267288267,589.166984288316,639.963073135706,308.751557892817,686.705348933067,433.755915745077,626.387176325524,359.287092932528,402.093640209364,1103.91503540192,427.445178102158,260.794276758178,317.30071204609,600.733401330808,302.631578947368,1001.93575706249,351.275700275882,611.82538875902,394.685665794498,346.459551377584,133.189282627485,904.072556030348,692.286106260913,307.800236769413,413.033216566048,480.159084815444,571.679364027824,575.731649752183,1333.86189995675,649.122807017544,905.693421990026
"Multi-drug resistance",1315.90212722288,3145.42836573074,2088.85526720689,1384.01677964556,2651.19376010654,2215.00208430397,1762.78301020542,2107.100324422,1651.17946511795,1330.85172844648,2061.19294216372,1174.38950401941,1398.9466042661,1872.62615959979,1673.56865960936,1790.93823725123,2071.8298797801,2644.60311007216,1521.39169789972,1727.48289961405,2138.28867761452,3872.24208598587,1377.36966824645,1017.49462884202,2198.52922908748,1973.9923138797,3043.95495197085,2396.97899457163,1169.1413194945,2552.74261603376,279.535739729281
"Tetracyclines",794.065473310756,2482.06496421463,2779.20812391015,674.088822688999,3087.73264846698,1580.39282999436,2660.85998373429,1061.78391031169,1781.17157811716,4170.97042898792,1459.11269129695,569.834167551443,1129.57385354401,1964.15561707708,1403.96227821679,3037.2028310447,1019.1506071407,1662.31324321577,1558.57082243123,1326.76067102297,2736.30077787381,3595.31699659894,3134.29159391369,796.707151313193,820.128692454846,956.787916703906,2024.4783040742,2716.98725513335,1791.16813223776,3900.73284477015,2275.05343148896
"Glycopeptides",0,19.4807944776183,10.7703354190173,5.51722041523543,13.9509813247091,0.0735636693558275,15.8459480022037,0,20.0760020076002,9.00666389004581,0,0.606704080084939,0,0,0,0,0,2.05813598942982,0,0,9.0751944684529,4.97078573297288,7.4831628835121,8.02385232604025,0.571414374798142,0.178746983644651,0,10.178192117064,11.7726202489068,0,20.2742816433151
"Sulfonamides",283.414698509038,672.637953669589,1053.2105857011,808.736358938505,1507.08646437744,247.124886589343,1279.16677597922,907.724528766786,1042.69735426974,680.91420241566,651.635271514696,660.157237474089,333.209767851351,682.646073145855,849.001043685701,448.793176456355,835.739745061318,1320.07825998577,407.927303585319,925.216859643089,673.898012100259,1940.83020842417,1360.78199052133,571.841978339983,903.803632207895,1140.04826168558,904.405432262339,905.033042246873,1437.22070059103,297.357317343993,1005.0166231299
"Trimethoprim",6.83174268079928,40.9520179562106,26.0539542517181,13.3902787488221,50.1601192174768,23.8101076481695,25.1856127187344,13.757135230586,33.7348533734853,41.4931278633903,29.7683457368107,14.0426715202993,12.9280385524304,13.6480645004614,28.1981511853288,14.2157159276511,11.2567711794438,32.6506758816953,20.1541616575914,34.7357560472315,33.4485738980121,27.2957181477283,25.2868545772013,20.1144385495681,23.5025216764801,5.98802395209581,38.5889367340179,27.7908897805051,50.2618807361492,63.7352875860537,81.1861790548563
"Bacitracin",41.826098429872,102.443569220345,55.3390091291414,55.7041675532723,79.4254732236279,82.1460974473407,42.0284912243881,84.2470535090961,63.7413063741306,15.045814244065,93.7658724024468,46.1727084281308,54.8012912592867,74.2629559473505,62.2297599522886,33.9362410017543,82.8852775931855,99.146254700681,58.2349197369352,74.8022469333945,39.4122731201383,131.638615156536,19.5497630331754,45.6438812645241,82.6314874164617,70.6944320314595,140.112620072872,65.8779797026198,22.2959012060929,66.8443260048856,1.21705058180955
"Tunicamycin",0,0,0,0,0,0.171648561830264,0,0,0,0,0,0,0.108119796734782,0,0,0,0,0,0.141432713386606,0,0,0,0,0,0,0,0,0,0,0,0
"Cationic antimicrobial peptides",61.3244198149859,139.07593274891,83.2905939070674,64.0635924248412,104.75918703827,92.6902233883426,61.3112259621691,86.1976920865673,73.9047823904782,32.798833819242,104.343793476581,57.5610495980585,58.8171694237215,81.8398173782117,106.157745638885,72.1674429859053,86.9731569302644,103.923162923061,65.607099922212,83.2282471626734,119.533275713051,155.184442312723,45.9902718882514,50.291577147367,99.9975155896748,84.5473232639199,141.536932759192,95.9700259617654,55.4514439479122,116.81101487897,4.2151507955355
"Fluoroquinolones",1.53934116198267,98.5474103248211,5.12873115191302,50.3845335440922,5.26332477250388,29.8178073122287,9.313429703282,103.794505359123,0,10.8808829654311,42.9521012300422,40.6744527023611,15.800936008526,0.558550682403225,0,6.29121045308814,103.787833021205,5.61540806992581,1.30825259882611,0,0,9.67995116421034,14.249189324021,0,1.59002260813396,29.6496559120565,52.7658164955283,7.52301156478641,0,36.8643126804353,0
"Fosfomycin",0,0.423495532122136,0.692378705508257,0,1.14144392656711,0,1.07563554319595,5.17432548971295,0.125475012547501,0.989171178675552,0,0,0,0,0,0,5.21557018868685,0.863908933834739,0,0,0,1.22089474143194,1.46545273135445,0,0.273285135773024,0,0,1.09157422704744,0,0,0
"Rifampin",0,0,0.692378705508257,0,0,0.490424462372183,1.18057559619068,0.677590242700505,0,1.40566430653894,0,0,0,0,0,0,0.704806782254979,0.508181725785141,0,0,0,1.17729135780937,1.62135195809429,0,0,0,0,0,0,0,0
