"group","F2O7_S29_L004","F2R23_S11_L004","F1O10_S21_L004","F2R33_S16_L004","F1O8_S19_L004","F2O15_S33_L004","F1O9_S20_L004","F2R24_S12_L004","F1R11_S9_L004","F1O11_S22_L004","F2R26_S13_L004","F2R35_S17_L004","F2O1_S26_L004","F204_S27_L004","F1R5_S6_L004","F2O9_S30_L004","F2R22_S10_L004","F1O12_S23_L004","F2O14_S32_L004","F1R3_S4_L004","F1R9_S8_L004","F1O13_S24_L004","F1O14_S25_L004","F1R1_S3_L004","F2O12_S31_L004","F2R30_S15_L004","F2R28_S14_L004","F1O3_S18_L004","F1R7_S7_L004","F2O5_S28_L004","F1R4_S5_L004"
"ANT3-DPRIME",15.6572986761666,104.899843306653,530.464663042363,454.235948566739,647.388947017978,105.588386748731,771.676679696723,366.986982054125,369.739011973901,133.746355685131,433.451847271603,408.400323575509,110.40575815146,290.154937102336,339.961980020874,17.9057528280201,343.200628284903,712.521597723346,175.146736440139,283.407848981619,266.897147796024,588.07883491759,565.664754302819,335.423334941027,404.163871705051,317.342926088122,562.305399138788,377.596176540005,1509.92263706694,242.949145014435,867.846117311802
"ERMA",0,0,5.38516770950867,0,6.81695678366467,0,5.82417294120734,0.266929489548684,0.591525059152506,8.5381091211995,0,0,0,0,0,0,0.302060049537848,2.8966358369753,0,0.420344682639765,0,4.31673497863434,8.48091793464704,0,0,0.201090356600232,0,6.57894736842105,0,0,15.9997625267157
"MSRC",0,2.7950705120061,83.2905939070674,0,103.142141475633,0,93.1605320460687,4.16820664449099,0,174.094127446897,0,0,0,0,0,0,4.18856602025816,83.2401666836061,0,1.39478008330467,0,144.283596407081,113.681716138688,0,0,2.16730717669139,0,102.253953268822,25.0348373456345,0,97.9280455948706
"CARB",3.85568310096612,0,3.12852600266694,0,1.96582009575446,2.23143130379343,4.74853739801139,0,0,3.12369845897543,0,0,0.787729947639127,0.947107678857642,0,0,0,1.88027238540502,2.36899794922566,0,0,4.01151129327636,4.8328760289349,0,4.47193858537676,0,0,4.66131696955393,563.211763009947,48.8563180102154,319.995250534315
"ERMB",0.894283913151838,14.6105958582137,220.997025335932,3.57175426330668,102.825073718254,23.1235134008484,267.911955295537,1.25251529711305,114.899261489926,280.143690129113,15.2595896914957,11.4136205065979,3.45983349551303,108.383117198504,39.5482331892053,67.751497187103,0.644394772347409,41.3151743063319,54.8582137048299,158.469945355191,279.775280898876,54.8966599808145,228.641805936643,52.7908098390845,4.79491192765397,5.63052998480651,10.3676714143756,169.666037290536,67.0318581519389,1.77659338218965,152.071954405129
"CML",0,0,0,0,9.67056660008244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.5861803853731,0,0
"CTX",373.150958056619,268.242070046161,11.9755872397169,1015.10776058607,74.7011636386696,560.604202937643,87.5987092373482,339.226315141062,60.4251810425181,19.9396084964598,430.426429344345,871.454573032004,362.865483527177,93.666520957793,72.2193230952736,8.52942955659065,380.63593709096,77.9296676491513,183.632699243335,73.2355076617372,0,131.769425307404,14.9975056123722,30.02367694129,593.649847208765,1248.57002413084,639.218284200066,36.0219494925655,87.1173898419105,47.0797246280258,1.45452386606507
"CMY",726.158537479292,2.11747766061068,0,60.3246496641031,0,296.314460165273,0,601.248408689582,62.7733562773356,0,90.7404544751894,105.604428939785,541.448496362541,0,0,0,544.533719970197,599.247891045838,382.381019729864,243.112079177653,0,0,0,359.714122857017,0,3.26213245151488,68.2345147399801,0,0,0,0
"ACRB",33.4696749791089,45.9492652352518,20.6431428864499,32.5713590904946,42.6139065918387,47.8654275275251,16.4493533069234,50.3059422610981,41.2633541263354,0,59.6691915288298,32.0794782344911,30.9068161808999,28.5589392393997,39.9209780826003,23.0476075252556,49.3767494311202,59.9908527289359,30.4787497348137,39.9900645802285,30.7692307692308,62.134821662161,10.6011474183088,26.8777129828561,43.4026483814067,42.3183483778711,77.5753560781716,26.2567854614114,11.7245687376868,0,0
"ERMF",0,0,135.860088214176,0,87.8594755699293,27.5863760084353,102.395256709605,0,1.34437513443751,161.026655560183,0,0,0,67.026081888387,64.1493961532727,2.11723428709697,0,40.0193109055798,46.6374372392334,2.40742863693683,20.5704407951599,64.8818348303828,158.767772511848,2.45538650414347,0,0,0,121.784281331131,75.0084090144635,0,3.65115174542864
