Node.Name,Contrast,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B
TETW,Group_labelFarm1_Pre.Group_labelFarm1_Post,-0.716555963328251,-0.973686134002493,-0.459425792654008,8.81194754647768,-1.51100777838577,0.142195668452545,0.184358337586729,-7.60500430119067
FLOR,Group_labelFarm1_Pre.Group_labelFarm1_Post,-0.800591736441072,-1.54523003100425,-0.0559534418778996,8.6952154048187,-2.20415519898944,0.0360603670340021,0.0659136217096924,-6.42363523759275
SULII,Group_labelFarm1_Pre.Group_labelFarm1_Post,-0.658710407615207,-3.00864964217253,1.69122882694211,8.55756298170961,-1.80288391244845,0.0823784621003422,0.124124304380921,-7.14970422130949
SULI,Group_labelFarm1_Pre.Group_labelFarm1_Post,-0.576787712324624,-0.87406406290068,-0.279511361748567,8.38702636195668,-1.21202988505017,0.235814281342068,0.292147692996006,-7.99984568821255
ANT3-DPRIME,Group_labelFarm1_Pre.Group_labelFarm1_Post,-0.0913123090157431,-1.28685135449982,1.10422673646833,8.21972665826448,-0.156582057400549,0.876718379635399,0.944484051491275,-8.72854274283554
APH3-DPRIME,Group_labelFarm1_Pre.Group_labelFarm1_Post,-0.849958294984014,-1.76132976797618,0.0614131780081563,8.09199470247659,-2.83915842491673,0.00840860521115148,0.0185655342780869,-5.07926686884895
MDTC,Group_labelFarm1_Pre.Group_labelFarm1_Post,-0.858321968685952,-2.43679097447216,0.720147037100254,8.07517643167808,-1.96630553595645,0.0594337976783769,0.0967426049801318,-6.86716573907315
TETQ,Group_labelFarm1_Pre.Group_labelFarm1_Post,-1.39488819717451,-1.46309929475457,-1.32667709959445,7.71002962547425,-1.90121102270322,0.0678032991211904,0.107235004993088,-6.98196645641466
TETA,Group_labelFarm1_Pre.Group_labelFarm1_Post,-0.319888302964307,-1.175939625077,0.536163019148391,7.70314971695595,-0.766081530934756,0.450155333705904,0.523533731243016,-8.44040189781668
TEM,Group_labelFarm1_Pre.Group_labelFarm1_Post,1.75247587360433,-1.24884980824484,4.75380155545349,7.57135891825151,1.19705845357699,0.241503562808052,0.295908211572503,-8.01759378288752
APH6,Group_labelFarm1_Pre.Group_labelFarm1_Post,-0.817829742965537,-1.50824454662341,-0.12741493930766,7.13440235990947,-2.42845041799488,0.0219693695016807,0.0426014730336939,-5.97338793282513
APH3-PRIME,Group_labelFarm1_Pre.Group_labelFarm1_Post,-0.627735298168511,-0.993258313488268,-0.262212282848754,7.02141289980764,-1.84231551715181,0.0762387314348851,0.117249911103306,-7.08327055334178
TETO,Group_labelFarm1_Pre.Group_labelFarm1_Post,-1.61505248253734,-1.99029129361623,-1.23981367145845,6.97733859777963,-2.77595372915846,0.00978702912415727,0.0210814297066848,-5.22214626896852
