Node.Name,Contrast,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B
Multi-drug efflux pumps,Group_labelFarm1_Pre.Group_labelFarm1_Post,-0.946676484342913,-1.53203669713972,-0.361316271546107,10.2360537634513,-3.31503388699673,0.00257236383668082,0.0067693785175811,-3.30271813669063
Tetracycline resistance ribosomal protection proteins,Group_labelFarm1_Pre.Group_labelFarm1_Post,-0.923718403946136,-2.19853873595109,0.351101928058821,10.0981601142761,-2.22467236887481,0.034465729573961,0.0594236716792432,-5.73386457568129
Sulfonamide-resistant dihydropteroate synthases,Group_labelFarm1_Pre.Group_labelFarm1_Post,-0.427099468263853,-0.92905521411087,0.0748562775831642,9.58810139849676,-1.74410723495325,0.0922752138794591,0.128160019277027,-6.59639451788714
Class A betalactamases,Group_labelFarm1_Pre.Group_labelFarm1_Post,0.665189876720643,-0.499800862420913,1.8301806158622,9.43508459694795,1.17039576332662,0.25185359901893,0.307138535388939,-7.39800975953136
Aminoglycoside O-phosphotransferases,Group_labelFarm1_Pre.Group_labelFarm1_Post,-0.763180951330382,-1.35948591446771,-0.166875988193058,9.23593434621474,-2.62342516890224,0.0140165052416073,0.0280330104832145,-4.90978951244797
Tetracycline resistance major facilitator superfamily MFS efflux pumps,Group_labelFarm1_Pre.Group_labelFarm1_Post,-0.813515762865599,-1.2997994290425,-0.327232096688694,9.10949846387853,-3.42914518521703,0.00192039742819491,0.00533443730054142,-3.02074300375473
MDR regulator,Group_labelFarm1_Pre.Group_labelFarm1_Post,-0.678497050661196,-1.46512829438595,0.108134193063561,9.08850443024943,-1.46073156054305,0.155386005576251,0.204455270495067,-7.02618551308493
Phenicol efflux pumps,Group_labelFarm1_Pre.Group_labelFarm1_Post,-0.760384377222939,-1.44252721297741,-0.0782415414684734,8.8560103448492,-2.28490130584426,0.0302191072933897,0.0539626915953387,-5.61516978272656
Aminoglycoside O-nucleotidyltransferases,Group_labelFarm1_Pre.Group_labelFarm1_Post,-0.268047795352079,-1.0916901828194,0.555594592115246,8.84217545964646,-0.667088008068118,0.510257758078047,0.566953064531164,-7.86152148644057
Aminoglycoside efflux pumps,Group_labelFarm1_Pre.Group_labelFarm1_Post,-0.780656060239559,-1.37464244856894,-0.186669671910175,8.07059852598408,-1.77505608284072,0.0869247292150143,0.124178184592878,-6.54571011332689
Penicillin binding protein,Group_labelFarm1_Pre.Group_labelFarm1_Post,-0.760348890966822,-1.55021690366211,0.0295191217284637,7.37504890356439,-1.97318576234125,0.0585699741679454,0.0944677002708798,-6.20483406511504
Class C betalactamases,Group_labelFarm1_Pre.Group_labelFarm1_Post,0.156277996704488,-1.74137020695109,2.05392620036007,6.57208556725611,0.168807490865095,0.867179722386608,0.922531619560221,-8.07529475604988
Aminoglycoside N-acetyltransferases,Group_labelFarm1_Pre.Group_labelFarm1_Post,-0.883893161216683,-1.62550590721527,-0.142280415218098,6.526382088392,-2.44304896367673,0.0212321439334202,0.0393187850618893,-5.29342414609142
Lipid A modification,Group_labelFarm1_Pre.Group_labelFarm1_Post,-0.592647062782071,-1.58528155584709,0.399987430282947,6.21643765975566,-1.34776339253006,0.188699312142534,0.235874140178168,-7.17943819549348
23S rRNA methyltransferases,Group_labelFarm1_Pre.Group_labelFarm1_Post,-1.01044837819172,-2.39572169194788,0.374824935564451,5.83599261662063,-1.49516198376684,0.146224893505381,0.197601207439703,-6.97737251731999
Undecaprenyl pyrophosphate phosphatase,Group_labelFarm1_Pre.Group_labelFarm1_Post,-0.738881181931641,-1.84810114857601,0.370338784712722,5.7594849883494,-1.36542078709533,0.183152375101072,0.234810737309067,-7.15619128373162
Macrolide resistance efflux pumps,Group_labelFarm1_Pre.Group_labelFarm1_Post,-2.82742147268298,-4.39233589949287,-1.2625070458731,5.15805711613641,-3.71658814845575,0.000992433239573612,0.00310135387366754,-2.35725779028454
Dihydrofolate reductase,Group_labelFarm1_Pre.Group_labelFarm1_Post,0.240114867412759,-0.530153300842567,1.01038303566808,4.66597749595647,0.638979144521925,0.528106801643841,0.574029132221566,-7.88023569323728
Macrolide phosphotransferases,Group_labelFarm1_Pre.Group_labelFarm1_Post,2.34952010273001,0.575653530134515,4.12338667532551,4.48339963802676,2.72918419488396,0.0115092250347038,0.0250200544232691,-4.70606638765266
Aminoglycoside efflux regulator,Group_labelFarm1_Pre.Group_labelFarm1_Post,-0.329128152871104,-0.88721539806268,0.228959092320472,4.29037891976612,-0.766268229887051,0.450024360634376,0.5113913189027,-7.78928492343834
Lincosamide nucleotidyltransferases,Group_labelFarm1_Pre.Group_labelFarm1_Post,-0.843012724347314,-0.940906653087103,-0.745118795607524,3.73768701486311,-1.12656856591963,0.27026947096303,0.321749370194084,-7.4471926685255
Chloramphenicol acetyltransferases,Group_labelFarm1_Pre.Group_labelFarm1_Post,-1.71742919321644,-3.65549281347809,0.220634427045199,3.60288412477541,-1.81643722829888,0.0801853165310221,0.121492903834882,-6.47683731314663
Tetracycline inactivation enzymes,Group_labelFarm1_Pre.Group_labelFarm1_Post,-1.6814365598359,-1.75984057405415,-1.60303254561766,3.20972519927162,-1.82671295903565,0.083550073238756,0.122867754762876,-6.47379955428117
Quinolone resistance protein Qnr,Group_labelFarm1_Pre.Group_labelFarm1_Post,-0.886525908010166,-1.78787300254197,0.0148211865216337,2.40890654609557,-1.09219091000341,0.287102416479038,0.333840019161672,-7.0365429918078
Class D betalactamases,Group_labelFarm1_Pre.Group_labelFarm1_Post,-2.45531990485027,-3.87226166340113,-1.03837814629941,1.54300808238054,-3.64393830180793,0.00188940635821994,0.00533443730054142,-2.72857814336108
Bleomycin resistance protein,Group_labelFarm1_Pre.Group_labelFarm1_Post,1.05833036322982,0.156847990281429,1.95981273617821,1.30152324403652,1.96753722748039,0.0674988818817709,0.105467002940267,-6.06880994835493
Quinolone active efflux,Group_labelFarm1_Pre.Group_labelFarm1_Post,-3.06338051053741,-3.31613800631373,-2.81062301476109,0.790549809170944,-17.5485025798322,1.80569024026398e-09,3.0094837337733e-08,12.3541732393718
Polymyxin B resistance regulator,Group_labelFarm1_Pre.Group_labelFarm1_Post,1.31373251743762,0.361622500506081,2.26584253436916,0.737892157680845,2.7829615633309,0.0123749811451322,0.0257812107190255,-4.29046672566751
Class B betalactamases,Group_labelFarm1_Pre.Group_labelFarm1_Post,-1.79522932792015,-2.46512027541181,-1.12533838042849,0.622021093491182,-5.82533882782715,7.4831722960129e-05,0.000311798845667204,1.08883139706046
Fosfomycin thiol transferases,Group_labelFarm1_Pre.Group_labelFarm1_Post,-0.976922021212865,-2.66477493843973,0.710930896013996,0.471289255023566,-3.53747471188267,0.0034202462357393,0.0081434434184269,-3.03355896831897
Streptogramin resistance ATP-binding cassette ABC efflux pumps,Group_labelFarm1_Pre.Group_labelFarm1_Post,2.79546857101834,2.41186177938945,3.17907536264724,0.438371379806198,4.91165186074687,0.000684499809454792,0.00228166603151597,-1.06559856933203
