Node.Name,Contrast,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B
TETW,TimePre...TimePost,-0.563740911065661,-1.22531304109027,0.097831218958943,8.81194754647768,-1.74132477736418,0.0920223408228513,0.144513957771097,-6.56432815885988
FLOR,TimePre...TimePost,-0.432424256073837,-0.951383746893751,0.086535234746077,8.6952154048187,-1.70276226123321,0.0991030320519102,0.152413628603972,-6.62665470968861
SULII,TimePre...TimePost,0.0891755365657971,-0.519420199230793,0.697771272362387,8.55756298170961,0.299429271821575,0.766706999865648,0.806488966839809,-8.00867035651428
SULI,TimePre...TimePost,0.385382033016343,-0.493647614599125,1.26441168063181,8.38702636195668,0.895912030616384,0.37753505780393,0.450215603691317,-7.64593972694618
ANT3-DPRIME,TimePre...TimePost,0.773419202428244,-0.223038300969056,1.76987670582554,8.21972665826448,1.58611107225068,0.123350872315398,0.183381630175558,-6.80813884907438
APH3-DPRIME,TimePre...TimePost,-0.485852251210727,-0.918480084134075,-0.05322441828738,8.09199470247659,-2.29491810047285,0.0290153303924465,0.0534745345249221,-5.55222373565812
MDTC,TimePre...TimePost,-0.380088862029753,-1.02070324378782,0.260525519728313,8.07517643167808,-1.21245572123218,0.234935829817212,0.311849345531181,-7.31405402050683
TETQ,TimePre...TimePost,-0.0693725909939955,-1.23384559916596,1.09510041717797,7.71002962547425,-0.121740734331498,0.903927871306151,0.91956724920703,-8.04724781635953
TETA,TimePre...TimePost,-0.119510360716456,-0.706059840997823,0.467039119564911,7.70314971695595,-0.416368945902181,0.680146656826249,0.729195694578142,-7.96563676427784
TEM,TimePre...TimePost,2.05141435317616,-0.172753141182652,4.27558184753496,7.57135891825151,1.88479156088973,0.0693200411188639,0.114506438292642,-6.32261852542377
APH6,TimePre...TimePost,-0.45388981123854,-0.933590287818615,0.0258106653415359,7.13440235990947,-1.93356026257799,0.0627904030870611,0.106077726427384,-6.23702082933541
APH3-PRIME,TimePre...TimePost,-0.532868690544111,-1.0178160045737,-0.0479213765145241,7.02141289980764,-2.24544836763288,0.0323745888594048,0.0586953928101404,-5.65097946676005
TETO,TimePre...TimePost,-0.983367804521638,-1.87663524536618,-0.0901003636770986,6.97733859777963,-2.24963421696878,0.0320773380848098,0.0586331671550211,-5.64268206987984
CPXAR,TimePre...TimePost,-0.217305053925227,-0.933273189536592,0.498663081686139,6.87968685435734,-0.62023113087228,0.539856277138795,0.611106344172341,-7.85753048297741
ACRF,TimePre...TimePost,-0.302595921719673,-0.91129952681198,0.306107683372634,6.85983555647354,-1.01586178837997,0.317935059505744,0.393354280593494,-7.53108698199879
MDTB,TimePre...TimePost,-0.422035580970794,-1.07535599044544,0.231284828503856,6.84070881728876,-1.32008005537263,0.196935916025564,0.270176665208467,-7.18056145691864
ACRD,TimePre...TimePost,-0.3414064136159,-1.01100081331854,0.328187986086744,6.78142291002585,-1.04192699661394,0.305889245824989,0.385385885982896,-7.50434750356985
CTX,TimePre...TimePost,1.08755607655376,-0.503771254636831,2.67888340774435,6.64323818414617,1.39866758603904,0.172672848121697,0.246833622635502,-7.0587065965597
EVGS,TimePre...TimePost,0.228535984830046,-0.58692562361251,1.0439975932726,6.48042604041766,0.572701738644234,0.571175799016971,0.643293955458508,-7.88646092912391
TET40,TimePre...TimePost,-0.79927612444077,-1.95344988666931,0.354897637787772,6.38717340401534,-1.41726238539151,0.167219237272586,0.242142142284329,-7.03555096161617
ANT6,TimePre...TimePost,-0.500994307319997,-1.22654926253014,0.224560647890149,6.38655214020892,-1.41104188918266,0.168666737396211,0.242662467350678,-7.05989861732827
ARNA,TimePre...TimePost,-0.280073080820662,-0.90850793440879,0.348361772767466,6.14705462520474,-0.910727673613626,0.369803092617251,0.44576264677647,-7.63248911681744
PBP2,TimePre...TimePost,-0.324012352039778,-0.91821067436356,0.270185970284003,6.14456546185976,-1.11431396572622,0.274119467424578,0.35747743412679,-7.4268007343703
ASMA,TimePre...TimePost,-0.222808814070655,-0.934664293939265,0.489046665797955,6.06759884082764,-0.639614002143464,0.527348000986681,0.599992878673622,-7.84508753525133
TETB,TimePre...TimePost,0.132429408464952,-0.861072164821065,1.12593098175097,5.86775015987375,0.273233725119759,0.78670964401215,0.823139865429116,-7.9781977118498
BACA,TimePre...TimePost,-0.10660135787599,-0.931754136885141,0.718551421133162,5.7594849883494,-0.26400113752632,0.793610184158117,0.823139865429116,-8.01895058278623
SAT,TimePre...TimePost,-0.298449524817789,-0.900498600243355,0.303599550607777,5.75936107405557,-1.013016282777,0.319269617880818,0.393354280593494,-7.53396788094961
EMRB,TimePre...TimePost,-0.298948978426073,-0.908586081165558,0.310688124313412,5.75793826392848,-1.00208165429528,0.324433845207922,0.397520590556959,-7.54496832994192
BAES,TimePre...TimePost,-0.354527060997405,-0.950631105646179,0.241576983651368,5.75462961752172,-1.21535947165984,0.233843373406294,0.311849345531181,-7.31058650631229
TOLC,TimePre...TimePost,-0.312407668341566,-0.934999102889617,0.310183766206484,5.74608345487442,-1.02540627815262,0.313486734174746,0.392738998432406,-7.52136877739467
PHOQ,TimePre...TimePost,-0.263354507131702,-0.861828615312872,0.335119601049469,5.70630970619765,-0.899234203061823,0.37579223458714,0.450215603691317,-7.64294180213305
MDTD,TimePre...TimePost,-0.316869367369208,-0.926735886324916,0.292997151586501,5.66096676458974,-1.06175152436838,0.296943051910773,0.378390289006299,-7.48358895158913
MDTE,TimePre...TimePost,-0.419408811059969,-0.968466432324396,0.129648810204457,5.56925550663939,-1.56097897629337,0.129168081692823,0.18950317248355,-6.84582335610347
EMRA,TimePre...TimePost,-0.380853667993453,-0.957541540128949,0.195834204142044,5.517602923258,-1.34956793940732,0.187396407573839,0.264489866385862,-7.14222219088779
PBP4B,TimePre...TimePost,-0.270386839437558,-0.904521519385884,0.363747840510768,5.49442878247646,-0.871327603506247,0.390594454826004,0.460860123948143,-7.66779760722696
ACRE,TimePre...TimePost,-0.355244444560342,-0.935016693995292,0.224527804874607,5.49328532013206,-1.25212388171634,0.220337777879011,0.297789845254663,-7.26603714482466
MDTA,TimePre...TimePost,-0.38183264163449,-1.01368966043004,0.250024377161065,5.47711241358727,-1.23489964586546,0.226590220570043,0.304395296307949,-7.28705772459473
AMPH,TimePre...TimePost,-0.298117240307406,-0.95908664776823,0.362852167153418,5.43865795216374,-0.921686362193782,0.364151021642397,0.443746873367511,-7.62240594570523
MDTK,TimePre...TimePost,-0.143023560444686,-0.796860891983119,0.510813771093748,5.41632160304096,-0.447008004304902,0.658126157840276,0.715912844870153,-7.95206221729011
MDTL,TimePre...TimePost,-0.300096528920213,-0.900894623642392,0.300701565801965,5.38961103366894,-1.02072758934919,0.315661886756262,0.393254752774561,-7.5261432028312
CPXA,TimePre...TimePost,-0.152367082131206,-0.930572558321151,0.62583839405874,5.38860041634342,-0.400105292613881,0.691954629940236,0.738305657783123,-7.97245544509911
TETM,TimePre...TimePost,-0.902068620210525,-2.30250933179474,0.498372091373691,5.37569230117246,-1.32249762553165,0.19724667386694,0.270176665208467,-7.12548899231189
