Node.Name,Contrast,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B
TEM,TimePre...TimePost,2.16511453726487,-0.206266131679861,4.5364952062096,8.84426422286601,1.95101713297947,0.0705507477781036,0.132801407582313,-5.60344265890361
TETW,TimePre...TimePost,-0.40150822666951,-1.60459498461671,0.801578531277695,8.6558151840049,-0.713146875737506,0.487017760735987,0.618435251728238,-7.13689874747937
FLOR,TimePre...TimePost,-0.0781504850560726,-0.583538924591757,0.427237954479612,8.60835989998076,-0.330436380864203,0.745772597913063,0.834430878783847,-7.345102872367
SULII,TimePre...TimePost,0.822812587202431,0.332234569305705,1.31339060509916,8.29192502630773,3.58405218954064,0.00282515248850244,0.0136977090351634,-2.50646148634485
MDTC,TimePre...TimePost,0.0390252482441209,-0.440304572861381,0.518355069349623,8.27332188570082,0.173977348490491,0.864276786295287,0.903818861485268,-7.38691628057861
CTX,TimePre...TimePost,1.85530713974919,0.209927150649095,3.50068712884928,8.21978954763067,2.4095230606837,0.029697333567439,0.06252070224724,-4.80327255108241
APH3-DPRIME,TimePre...TimePost,-0.139361356061264,-0.831492772793629,0.552770060671101,8.03421896863622,-0.430264270261561,0.673297908941236,0.797982706893317,-7.30508122729547
TETA,TimePre...TimePost,0.048138320821832,-0.659870480256246,0.75614712189991,7.84650261469062,0.145289344073112,0.88647270080453,0.921010598238473,-7.39178364395658
SULI,TimePre...TimePost,1.3631643544075,0.168385594393032,2.55794311442196,7.79506300815204,2.43804776684291,0.0280963395460507,0.0601673716209603,-4.75088513065004
ANT3-DPRIME,TimePre...TimePost,1.66584731473468,0.268642734551991,3.06305189491736,7.59211089933913,2.54774920596498,0.0226726764929733,0.0535039690572623,-4.54708759148742
TETQ,TimePre...TimePost,1.22378932772953,-0.736497164209414,3.18407581966847,7.28880556555347,1.33403921670369,0.202663371424122,0.30304803203607,-6.5093127438614
CPXAR,TimePre...TimePost,0.274776431201711,-0.0962733747324489,0.645826237135871,7.15918671519186,1.58244546567619,0.13500203051559,0.207695431562446,-6.17317650704853
APH6,TimePre...TimePost,-0.117775203097838,-0.872576071802811,0.637025665607134,7.15380151753616,-0.333428679869566,0.743559348208563,0.834430878783847,-7.34405330742168
