"header","class","mechanism","group","F2O7_S29_L004","F2R23_S11_L004","F1O10_S21_L004","F2R33_S16_L004","F1O8_S19_L004","F2O15_S33_L004","F1O9_S20_L004","F2R24_S12_L004","F1R11_S9_L004","F1O11_S22_L004","F2R26_S13_L004","F2R35_S17_L004","F2O1_S26_L004","F204_S27_L004","F1R5_S6_L004","F2O9_S30_L004","F2R22_S10_L004","F1O12_S23_L004","F2O14_S32_L004","F1R3_S4_L004","F1R9_S8_L004","F1O13_S24_L004","F1O14_S25_L004","F1R1_S3_L004","F2O12_S31_L004","F2R30_S15_L004","F2R28_S14_L004","F1O3_S18_L004","F1R7_S7_L004","F2O5_S28_L004","F1R4_S5_L004"
"100|FR772051.1|FR772051|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME","Aminoglycosides","Aminoglycoside O-nucleotidyltransferases","ANT3-DPRIME",0,0,7.74438403938866,0,6.43647547480897,0,8.26402917333473,0.533858979097368,25.9195525919553,7.54893794252395,0,0,0,0,0,0,0,5.58999898363655,0,0.554090718025144,0,7.71779890119473,11.7236218508356,0,0,0.558584323889534,0,8.201557705924,33.7802123876796,0,30.6934219900261
"101|unknown_id|unknown_name|MLS|23S_rRNA_methyltransferases|ERMA","MLS","23S rRNA methyltransferases","ERMA",0,0,3.84654836393476,0,3.42433177970132,0,4.09266206679434,0,0,3.95668471470221,0,0,0,0,0,0,0,2.8966358369753,0,0,0,4.31673497863434,6.23596906959341,0,0,0,0,3.89426481000708,0,0,9.88482545713607
"1021|AJ243209.1|AJ243209|MLS|Macrolide_resistance_efflux_pumps|MSRC","MLS","Macrolide resistance efflux pumps","MSRC",0,0.635243298183204,13.7706431428864,0,16.8362979168648,0,14.586667366267,1.19091618414028,0,28.1132861307788,0,0,0,0,0,0,1.18810286151554,13.6700884236203,0,0.343918376705262,0,23.2842068544519,17.2736343227738,0,0,0.759674680489767,0,16.049091338211,7.30382970544424,0,13.5359772025647
"1034|JQ364968.1|JQ364968|betalactams|Class_A_betalactamases|CARB","betalactams","Class A betalactamases","CARB",0.51311372066089,0,0,0,0,0,0.629640317968361,0,0,0,0,0,0.370696445947825,0,0,0,0,0,0.159111802559932,0,0,0.610447370715968,0.623596906959341,0,0.770167200814887,0,0,0.944064196365353,58.4306376435539,6.21807683766378,38.5300403704583
"1066|unknown_id|unknown_name|MLS|23S_rRNA_methyltransferases|ERMB","MLS","23S rRNA methyltransferases","ERMB",0,2.58332274594503,16.335008718843,0,10.0827546846761,0,19.9648450822468,0,8.98042589804259,22.9591836734694,1.67833403263918,0.442388391728601,0,6.11977269415707,2.27374384970926,3.32708245115238,0,1.34668157333062,4.34905593663814,13.2790706561198,23.0769230769231,6.71492107787564,18.1154901471689,4.43942649186653,0.621102581302328,0.782018053445348,1.35806558463067,13.01038470616,6.87136610446399,0,15.0795535502256
"1080|AF294653.1|AF294653|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME","Aminoglycosides","Aminoglycoside O-nucleotidyltransferases","ANT3-DPRIME",0.278547448358769,0,19.6686839675864,5.4716235522996,25.0800596087384,0.88276403226993,11.5696408426686,18.3565356658864,20.0760020076002,1.50978758850479,5.10125212552172,6.87597957429597,1.09664365259565,12.9923745689446,17.8358431489489,0,17.5597575464669,16.1855879662567,1.80326709567923,18.5333791891169,20.3975799481417,38.6325978895962,2.9309054627089,10.3477002674617,17.6393133089861,19.1482706229332,5.53163299105664,5.25135709228227,10.427177934746,0,4.69009736404654
"1081|AF294653.1|AF294653|Phenicol|Phenicol_efflux_pumps|CML","Phenicol","Phenicol efflux pumps","CML",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.94666282254577,0,0
"1090|DQ303459.3|DQ303459|betalactams|Class_A_betalactamases|CTX","betalactams","Class A betalactamases","CTX",15.9211857325065,18.7608520730106,3.17981331418607,12.341550901298,26.2215035353055,24.5212231186092,31.0884906996878,28.6435875323395,18.6061518606152,5.36234902124115,10.0700041958351,11.8812882349967,15.9553928610043,6.94545631162271,19.9232145519606,1.99624947069143,28.2325459634709,31.735948775282,17.6790891733258,20.5586762963812,0,14.2583064445801,3.05562484410077,11.7069320822554,25.8130232789247,27.9068728215211,13.5144087446174,8.46707576115176,18.3556772860506,10.8816344659116,0.563999050106863
"1119|M55547.1|TRNTAAB|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME","Aminoglycosides","Aminoglycoside O-nucleotidyltransferases","ANT3-DPRIME",0,8.97810528098929,13.6680685198482,18.5883211235067,20.1338025936143,4.5609475000613,24.4247973345227,12.6483511970761,1.38022513802251,10.2040816326531,18.9254245522602,15.2687193488043,9.82345581761735,2.03992423138569,1.95691069032354,2.6616659609219,11.7602045953402,21.1149507063726,9.86493175871579,0,0,7.54338536670446,21.2958343726615,6.08365852589117,4.14896524309955,1.96621682009116,24.64392182842,18.5862638659429,67.7526308202393,36.8643126804353,42.3296129185467
"1181|X91840.1|X91840|betalactams|Class_C_betalactamases|CMY","betalactams","Class C betalactamases","CMY",16.1410916127897,0,0,1.97586406055263,0,7.60157916676884,0,14.5784567368897,1.52362515236252,0,2.51750104895877,3.10935841043531,12.696353273713,0,0,0,13.2302301697577,15.4487244638683,9.31687999434269,5.84661240398945,0,0,0,8.37462182663218,0,0,1.82179529645578,0,0,0,0
"1191|AJ243491.1|AJ243491|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME","Aminoglycosides","Aminoglycoside O-nucleotidyltransferases","ANT3-DPRIME",0,0,13.6167812083291,3.57175426330668,6.75354323218872,0,5.24700264973634,0,0.770775077077508,0.624739691795085,0,2.55321300369078,0,0.509981057846423,0,0,0,14.330724667141,4.08386959903826,0.286598647254385,0,0,5.05113494637067,4.72442671109747,2.68316315122606,0,0,8.82109983478876,29.2153188217769,0,17.7214438375683
"1199|JN118546.1|JN118546|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME","Aminoglycosides","Aminoglycoside O-nucleotidyltransferases","ANT3-DPRIME",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.84147806448513,0,0
