F2O7_S29_L004,F2R23_S11_L004,F1O10_S21_L004,F2R33_S16_L004,F1O8_S19_L004,F2O15_S33_L004,F1O9_S20_L004,F2R24_S12_L004,F1R11_S9_L004,F1O11_S22_L004,F2R26_S13_L004,F2R35_S17_L004,F2O1_S26_L004,F204_S27_L004,F1R5_S6_L004,F2O9_S30_L004,F2R22_S10_L004,F1O12_S23_L004,F2O14_S32_L004,F1R3_S4_L004,F1R9_S8_L004,F1O13_S24_L004,F1O14_S25_L004,F1R1_S3_L004,F2O12_S31_L004,F2R30_S15_L004,F2R28_S14_L004,F1O3_S18_L004,F1R7_S7_L004,F2O5_S28_L004,F1R4_S5_L004
1233|AY139598.1|AY139598|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,186.0,26.0,0,205.0,17.0,159.0,0,0,0,0,88.0,267.0,184.0,0,0,0,0,0,311.0,371.0,88.0,0,0,0,89.0,932.0,69.0,0,0,0,0
582|AY655721.2|AY655721|Glycopeptides|VanB-type_regulator|VANSB,0,0,0,0,0,0,29.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bla|CTX-M-47|AY847143|83-958|876|betalactams|Class_A_betalactamases|CTX,350.0,87.0,0,918.0,0,341.0,0,91.0,0,0,252.0,868.0,313.0,29.0,0,0,85.0,0,116.0,0,0,0,0,0,316.0,746.0,290.0,0,0,0,0
gi|607346569|gb|KJ155695.1|betalactams|Class_C_betalactamases|CMY,719.0,0,0,41.0,0,171.0,0,360.0,72.0,0,62.0,108.0,484.0,0,0,0,396.0,342.0,316.0,205.0,0,0,0,451.0,0,0,26.0,0,0,0,0
Rif|CP002695.1|gene18|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,435.0,0,1198.0,0,709.0,717.0,1454.0,0,0,767.0,0,0,546.0,272.0,0,150.0,0,719.0,545.0,0,0,1000.0,1356.0,0,390.0,0,0,1055.0,0,348.0,0
gi|160948450|emb|AM176553.2|betalactams|Class_A_betalactamases|SHV,0,0,0,0,0,0,0,73.0,0,0,0,0,0,0,0,0,82.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gi|56181495|gb|AY826417.1|betalactams|Class_A_betalactamases|TEM,265.0,51.0,0,0,0,0,0,188.0,261.0,0,153.0,0,0,0,0,0,0,0,156.0,0,0,0,0,0,0,0,0,0,0,0,0
Tet|Tet-31|AJ250203|1651-2883|1233|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TET31,255.0,0,160.0,0,0,0,0,0,0,0,0,0,194.0,0,0,0,0,0,0,0,0,0,50.0,0,0,0,0,0,2005.0,0,1889.0
Bla|TEM-168|FJ919776|209-1069|861|betalactams|Class_A_betalactamases|TEM,214.0,323.0,0,209.0,37.0,208.0,0,297.0,218.0,0,132.0,277.0,151.0,0,121.0,0,237.0,0,396.0,216.0,0,0,0,213.0,0,163.0,58.0,0,38.0,0,0
Bla|SHV-1_7_GU083598|betalactams|Class_A_betalactamases|SHV,0,0,0,0,0,0,0,33.0,0,0,0,0,0,0,0,0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
