"header","class","mechanism","group","F2O7_S29_L004","F2R23_S11_L004","F1O10_S21_L004","F2R33_S16_L004","F1O8_S19_L004","F2O15_S33_L004","F1O9_S20_L004","F2R24_S12_L004","F1R11_S9_L004","F1O11_S22_L004","F2R26_S13_L004","F2R35_S17_L004","F2O1_S26_L004","F204_S27_L004","F1R5_S6_L004","F2O9_S30_L004","F2R22_S10_L004","F1O12_S23_L004","F2O14_S32_L004","F1R3_S4_L004","F1R9_S8_L004","F1O13_S24_L004","F1O14_S25_L004","F1R1_S3_L004","F2O12_S31_L004","F2R30_S15_L004","F2R28_S14_L004","F1O3_S18_L004","F1R7_S7_L004","F2O5_S28_L004","F1R4_S5_L004"
"100|FR772051.1|FR772051|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME","Aminoglycosides","Aminoglycoside O-nucleotidyltransferases","ANT3-DPRIME",0,0,302,0,203,0,315,26,1446,145,0,0,0,0,0,0,0,220,0,29,0,177,376,0,0,25,0,278,703,0,1034
"101|unknown_id|unknown_name|MLS|23S_rRNA_methyltransferases|ERMA","MLS","23S rRNA methyltransferases","ERMA",0,0,150,0,108,0,156,0,0,76,0,0,0,0,0,0,0,114,0,0,0,99,200,0,0,0,0,132,0,0,333
"1021|AJ243209.1|AJ243209|MLS|Macrolide_resistance_efflux_pumps|MSRC","MLS","Macrolide resistance efflux pumps","MSRC",0,15,537,0,531,0,556,58,0,540,0,0,0,0,0,0,59,538,0,18,0,534,554,0,0,34,0,544,152,0,456
"1034|JQ364968.1|JQ364968|betalactams|Class_A_betalactamases|CARB","betalactams","Class A betalactamases","CARB",35,0,0,0,0,0,24,0,0,0,0,0,24,0,0,0,0,0,9,0,0,14,20,0,31,0,0,32,1216,28,1298
"1066|unknown_id|unknown_name|MLS|23S_rRNA_methyltransferases|ERMB","MLS","23S rRNA methyltransferases","ERMB",0,61,637,0,318,0,761,0,501,441,76,35,0,252,122,55,0,53,246,695,267,154,581,405,25,35,41,441,143,0,508
"1080|AF294653.1|AF294653|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME","Aminoglycosides","Aminoglycoside O-nucleotidyltransferases","ANT3-DPRIME",19,0,767,360,791,36,441,894,1120,29,231,544,71,535,957,0,872,637,102,970,236,886,94,944,710,857,167,178,217,0,158
"1081|AF294653.1|AF294653|Phenicol|Phenicol_efflux_pumps|CML","Phenicol","Phenicol efflux pumps","CML",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,0,0
"1090|DQ303459.3|DQ303459|betalactams|Class_A_betalactamases|CTX","betalactams","Class A betalactamases","CTX",1086,443,124,812,827,1000,1185,1395,1038,103,456,940,1033,286,1069,33,1402,1249,1000,1076,0,327,98,1068,1039,1249,408,287,382,49,19
"1119|M55547.1|TRNTAAB|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME","Aminoglycosides","Aminoglycoside O-nucleotidyltransferases","ANT3-DPRIME",0,212,533,1223,635,186,931,616,77,196,857,1208,636,84,105,44,584,831,558,0,0,173,683,555,167,88,744,630,1410,166,1426
"1181|X91840.1|X91840|betalactams|Class_C_betalactamases|CMY","betalactams","Class C betalactamases","CMY",1101,0,0,130,0,310,0,710,85,0,114,246,822,0,0,0,657,608,527,306,0,0,0,764,0,0,55,0,0,0,0
